Date	Paper	Topic	Subtopic (Granular)	Reference	Task Type	PYQ Weightage	Daily Answer Practice	Status	PYQ Mapping	2026 Priority	Keywords / Model Points	Revision Tags (D1/D7/D21)
2026-04-26	GS-I	Ancient India	Prehistory, Indus Valley: town planning, economy, art	NCERT 6-12 + RS Sharma	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-04-27	GS-I	Ancient India	Vedic age: society, polity, religion; Later Vedic changes	NCERT + RS Sharma	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-04-28	GS-I	Ancient India	Mahajanapadas, Buddhism, Jainism, Persian & Greek invasions	NCERT + RS Sharma	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-04-29	GS-I	Ancient India	Mauryan administration, Ashoka, economy; Post-Mauryan	NCERT + RS Sharma	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-04-30	GS-I	Ancient India	Gupta age: polity, economy, science; Harsha	NCERT + RS Sharma	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-01	GS-I	Art & Culture	Temple architecture (Nagara, Dravida), cave architecture, stupas	Nitin Singhania	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-02	GS-I	Art & Culture	Classical dances, music, paintings, literature (Sanskrit, Sangam)	Nitin Singhania	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-03	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-04	GS-I	Medieval India	Delhi Sultanate: admin, society, economy	Satish Chandra	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-05	GS-I	Medieval India	Mughal Empire: admin, mansabdari, culture	Satish Chandra	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-06	GS-I	Medieval India	Bhakti & Sufi movements, regional kingdoms	Satish Chandra	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-07	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-08	GS-I	Modern India	1757-1857: EIC expansion, policies, revolts	Spectrum	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-09	GS-I	Modern India	Revolt of 1857: causes, course, consequences	Spectrum	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-10	GS-I	Modern India	Socio-religious reforms (Rammohan, Dayanand, Vivekananda)	Spectrum	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-11	GS-I	Modern India	INC: Moderates, Extremists, Surat split	Spectrum	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-12	GS-I	Modern India	Gandhian phase: movements, strategies	Spectrum	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-13	GS-I	Modern India	Revolutionaries, left movements, Subhash	Spectrum	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-14	GS-I	Modern India	Constitutional developments, Acts 1909-1947	Spectrum	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-15	GS-I	Modern India	Post-1947: integration, reorganization till 1965	Bipan Chandra	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-16	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-17	GS-I	World History	French Revolution, American Revolution (context)	Norman Lowe	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-18	GS-I	World History	Industrial Revolution, unification of Germany & Italy	Norman Lowe	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-19	GS-I	World History	WWI: causes, course, consequences	Norman Lowe	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-20	GS-I	World History	Russian Revolution; inter-war period	Norman Lowe	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-21	GS-I	World History	WWII, UN formation, decolonization	Norman Lowe	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-22	GS-I	World History	Ideologies: Capitalism, Socialism, Fascism, Nazism	Norman Lowe	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-23	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-24	GS-I	Indian Society	Salient features, diversity, unity, caste, family	NCERT + Ram Ahuja	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-25	GS-I	Indian Society	Women: issues, laws, empowerment, orgs	Current Affairs	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-26	GS-I	Indian Society	Population, migration, urbanization, poverty	NCERT Geo	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-27	GS-I	Indian Society	Globalization (LPG) impacts on society	Economy Notes	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-28	GS-I	Indian Society	Communalism, regionalism, secularism, social empowerment	Current Affairs	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-29	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-30	GS-I	Geography	Resources: water, soil, forests (India/World distribution)	NCERT 11-12	Study	Medium	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-05-31	GS-I	Geography	Industrial location factors (India)	NCERT + Notes	Study	Medium	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-01	GS-I	Physical Geography	Earthquake, volcano, tsunami, plate tectonics	GC Leong	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-02	GS-I	Physical Geography	Cyclones, winds, ocean currents, glaciers	GC Leong	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
